Files already downloaded and verified
Files already downloaded and verified
Starting Mixup Training on CIFAR-100 with DenseNet (depth=40, growth_rate=12)...
Epoch 37/200 | Train Loss: 2.9188 | Train Acc: 0.3455 | Val Acc: 0.4184 | ECE: 0.0971 | Adaptive ECE: 0.0971 | OE: 0.0000
Epoch 38/200 | Train Loss: 2.9443 | Train Acc: 0.3382 | Val Acc: 0.4080 | ECE: 0.0674 | Adaptive ECE: 0.0671 | OE: 0.0001
Epoch 39/200 | Train Loss: 2.9363 | Train Acc: 0.3421 | Val Acc: 0.4566 | ECE: 0.0835 | Adaptive ECE: 0.0816 | OE: 0.0009
Epoch 40/200 | Train Loss: 2.9174 | Train Acc: 0.3498 | Val Acc: 0.4110 | ECE: 0.0791 | Adaptive ECE: 0.0787 | OE: 0.0002
Epoch 41/200 | Train Loss: 2.9012 | Train Acc: 0.3496 | Val Acc: 0.4340 | ECE: 0.0990 | Adaptive ECE: 0.0990 | OE: 0.0000
Epoch 42/200 | Train Loss: 2.9004 | Train Acc: 0.3504 | Val Acc: 0.4374 | ECE: 0.0684 | Adaptive ECE: 0.0657 | OE: 0.0011
Epoch 43/200 | Train Loss: 2.8885 | Train Acc: 0.3521 | Val Acc: 0.3922 | ECE: 0.0367 | Adaptive ECE: 0.0414 | OE: 0.0081
Epoch 44/200 | Train Loss: 2.8874 | Train Acc: 0.3533 | Val Acc: 0.3630 | ECE: 0.0575 | Adaptive ECE: 0.0597 | OE: 0.0393
Epoch 45/200 | Train Loss: 2.9158 | Train Acc: 0.3458 | Val Acc: 0.3712 | ECE: 0.0238 | Adaptive ECE: 0.0235 | OE: 0.0041
Epoch 46/200 | Train Loss: 2.9298 | Train Acc: 0.3436 | Val Acc: 0.4388 | ECE: 0.0639 | Adaptive ECE: 0.0634 | OE: 0.0000
Epoch 47/200 | Train Loss: 2.8772 | Train Acc: 0.3541 | Val Acc: 0.4410 | ECE: 0.0574 | Adaptive ECE: 0.0575 | OE: 0.0006
Epoch 48/200 | Train Loss: 2.8985 | Train Acc: 0.3511 | Val Acc: 0.4554 | ECE: 0.1109 | Adaptive ECE: 0.1109 | OE: 0.0000
Epoch 49/200 | Train Loss: 2.9213 | Train Acc: 0.3416 | Val Acc: 0.4226 | ECE: 0.0703 | Adaptive ECE: 0.0693 | OE: 0.0024
Epoch 50/200 | Train Loss: 2.9263 | Train Acc: 0.3434 | Val Acc: 0.4182 | ECE: 0.0500 | Adaptive ECE: 0.0501 | OE: 0.0010
Epoch 51/200 | Train Loss: 2.9063 | Train Acc: 0.3521 | Val Acc: 0.4388 | ECE: 0.0971 | Adaptive ECE: 0.0967 | OE: 0.0002
Epoch 52/200 | Train Loss: 2.8875 | Train Acc: 0.3550 | Val Acc: 0.4214 | ECE: 0.1061 | Adaptive ECE: 0.1060 | OE: 0.0019
Epoch 53/200 | Train Loss: 2.8912 | Train Acc: 0.3498 | Val Acc: 0.4750 | ECE: 0.0911 | Adaptive ECE: 0.0911 | OE: 0.0000
Epoch 54/200 | Train Loss: 2.8898 | Train Acc: 0.3538 | Val Acc: 0.4540 | ECE: 0.0929 | Adaptive ECE: 0.0929 | OE: 0.0000
Epoch 55/200 | Train Loss: 2.8667 | Train Acc: 0.3600 | Val Acc: 0.4046 | ECE: 0.0732 | Adaptive ECE: 0.0725 | OE: 0.0010
Epoch 56/200 | Train Loss: 2.8879 | Train Acc: 0.3514 | Val Acc: 0.4440 | ECE: 0.0564 | Adaptive ECE: 0.0556 | OE: 0.0003
Epoch 57/200 | Train Loss: 2.9130 | Train Acc: 0.3470 | Val Acc: 0.4594 | ECE: 0.0805 | Adaptive ECE: 0.0805 | OE: 0.0000
Epoch 58/200 | Train Loss: 2.8957 | Train Acc: 0.3523 | Val Acc: 0.4278 | ECE: 0.0901 | Adaptive ECE: 0.0897 | OE: 0.0001
Epoch 59/200 | Train Loss: 2.9034 | Train Acc: 0.3499 | Val Acc: 0.4526 | ECE: 0.0953 | Adaptive ECE: 0.0953 | OE: 0.0000
Epoch 60/200 | Train Loss: 2.8267 | Train Acc: 0.3684 | Val Acc: 0.4318 | ECE: 0.0456 | Adaptive ECE: 0.0456 | OE: 0.0000
Epoch 61/200 | Train Loss: 2.6850 | Train Acc: 0.4114 | Val Acc: 0.5742 | ECE: 0.1571 | Adaptive ECE: 0.1571 | OE: 0.0000
Epoch 62/200 | Train Loss: 2.5892 | Train Acc: 0.4352 | Val Acc: 0.6008 | ECE: 0.1708 | Adaptive ECE: 0.1708 | OE: 0.0000
Epoch 63/200 | Train Loss: 2.6100 | Train Acc: 0.4277 | Val Acc: 0.5930 | ECE: 0.1695 | Adaptive ECE: 0.1695 | OE: 0.0000
Epoch 64/200 | Train Loss: 2.5863 | Train Acc: 0.4325 | Val Acc: 0.5964 | ECE: 0.1713 | Adaptive ECE: 0.1713 | OE: 0.0000
Epoch 65/200 | Train Loss: 2.5311 | Train Acc: 0.4447 | Val Acc: 0.6020 | ECE: 0.1677 | Adaptive ECE: 0.1677 | OE: 0.0000
Epoch 66/200 | Train Loss: 2.5194 | Train Acc: 0.4504 | Val Acc: 0.6184 | ECE: 0.1669 | Adaptive ECE: 0.1669 | OE: 0.0000
Epoch 67/200 | Train Loss: 2.5203 | Train Acc: 0.4456 | Val Acc: 0.5958 | ECE: 0.1462 | Adaptive ECE: 0.1462 | OE: 0.0000
Epoch 68/200 | Train Loss: 2.5511 | Train Acc: 0.4403 | Val Acc: 0.5998 | ECE: 0.1632 | Adaptive ECE: 0.1632 | OE: 0.0000
Epoch 69/200 | Train Loss: 2.4834 | Train Acc: 0.4561 | Val Acc: 0.6088 | ECE: 0.1545 | Adaptive ECE: 0.1537 | OE: 0.0000
Epoch 70/200 | Train Loss: 2.5565 | Train Acc: 0.4405 | Val Acc: 0.6082 | ECE: 0.1561 | Adaptive ECE: 0.1561 | OE: 0.0000
Epoch 71/200 | Train Loss: 2.5138 | Train Acc: 0.4492 | Val Acc: 0.6148 | ECE: 0.1659 | Adaptive ECE: 0.1659 | OE: 0.0000
Epoch 72/200 | Train Loss: 2.5094 | Train Acc: 0.4524 | Val Acc: 0.6088 | ECE: 0.1537 | Adaptive ECE: 0.1537 | OE: 0.0000
Epoch 73/200 | Train Loss: 2.4969 | Train Acc: 0.4550 | Val Acc: 0.6182 | ECE: 0.1641 | Adaptive ECE: 0.1641 | OE: 0.0000
Epoch 74/200 | Train Loss: 2.4996 | Train Acc: 0.4567 | Val Acc: 0.6212 | ECE: 0.1564 | Adaptive ECE: 0.1564 | OE: 0.0000
Epoch 75/200 | Train Loss: 2.5045 | Train Acc: 0.4502 | Val Acc: 0.6168 | ECE: 0.1586 | Adaptive ECE: 0.1586 | OE: 0.0000
Epoch 76/200 | Train Loss: 2.5039 | Train Acc: 0.4498 | Val Acc: 0.6148 | ECE: 0.1618 | Adaptive ECE: 0.1618 | OE: 0.0000
Epoch 77/200 | Train Loss: 2.5630 | Train Acc: 0.4399 | Val Acc: 0.5988 | ECE: 0.1584 | Adaptive ECE: 0.1578 | OE: 0.0000
Epoch 78/200 | Train Loss: 2.4667 | Train Acc: 0.4631 | Val Acc: 0.6142 | ECE: 0.1587 | Adaptive ECE: 0.1587 | OE: 0.0000
Epoch 79/200 | Train Loss: 2.4978 | Train Acc: 0.4536 | Val Acc: 0.5992 | ECE: 0.1650 | Adaptive ECE: 0.1650 | OE: 0.0000
Epoch 80/200 | Train Loss: 2.4100 | Train Acc: 0.4747 | Val Acc: 0.6058 | ECE: 0.1600 | Adaptive ECE: 0.1600 | OE: 0.0000
Epoch 81/200 | Train Loss: 2.4183 | Train Acc: 0.4760 | Val Acc: 0.6160 | ECE: 0.1479 | Adaptive ECE: 0.1479 | OE: 0.0000
Epoch 82/200 | Train Loss: 2.5002 | Train Acc: 0.4571 | Val Acc: 0.6006 | ECE: 0.1550 | Adaptive ECE: 0.1546 | OE: 0.0000
Epoch 83/200 | Train Loss: 2.4838 | Train Acc: 0.4580 | Val Acc: 0.6148 | ECE: 0.1452 | Adaptive ECE: 0.1452 | OE: 0.0000
Epoch 84/200 | Train Loss: 2.4826 | Train Acc: 0.4580 | Val Acc: 0.5978 | ECE: 0.1525 | Adaptive ECE: 0.1525 | OE: 0.0000
Epoch 85/200 | Train Loss: 2.4959 | Train Acc: 0.4563 | Val Acc: 0.6124 | ECE: 0.1463 | Adaptive ECE: 0.1459 | OE: 0.0000
Epoch 86/200 | Train Loss: 2.4763 | Train Acc: 0.4579 | Val Acc: 0.6216 | ECE: 0.1502 | Adaptive ECE: 0.1502 | OE: 0.0000
Epoch 87/200 | Train Loss: 2.4256 | Train Acc: 0.4704 | Val Acc: 0.6220 | ECE: 0.1720 | Adaptive ECE: 0.1720 | OE: 0.0000
Epoch 88/200 | Train Loss: 2.4404 | Train Acc: 0.4709 | Val Acc: 0.6212 | ECE: 0.1521 | Adaptive ECE: 0.1521 | OE: 0.0000
Epoch 89/200 | Train Loss: 2.4981 | Train Acc: 0.4561 | Val Acc: 0.6142 | ECE: 0.1717 | Adaptive ECE: 0.1717 | OE: 0.0000
Epoch 90/200 | Train Loss: 2.4452 | Train Acc: 0.4686 | Val Acc: 0.5930 | ECE: 0.1532 | Adaptive ECE: 0.1527 | OE: 0.0000
Epoch 91/200 | Train Loss: 2.3273 | Train Acc: 0.4995 | Val Acc: 0.6428 | ECE: 0.1649 | Adaptive ECE: 0.1649 | OE: 0.0000
Epoch 92/200 | Train Loss: 2.3631 | Train Acc: 0.4924 | Val Acc: 0.6520 | ECE: 0.1609 | Adaptive ECE: 0.1609 | OE: 0.0000
Epoch 93/200 | Train Loss: 2.3989 | Train Acc: 0.4779 | Val Acc: 0.6490 | ECE: 0.1614 | Adaptive ECE: 0.1614 | OE: 0.0000
Epoch 94/200 | Train Loss: 2.3987 | Train Acc: 0.4833 | Val Acc: 0.6510 | ECE: 0.1658 | Adaptive ECE: 0.1658 | OE: 0.0000
Epoch 95/200 | Train Loss: 2.3428 | Train Acc: 0.4973 | Val Acc: 0.6502 | ECE: 0.1708 | Adaptive ECE: 0.1708 | OE: 0.0000
Epoch 96/200 | Train Loss: 2.3274 | Train Acc: 0.5016 | Val Acc: 0.6598 | ECE: 0.1664 | Adaptive ECE: 0.1664 | OE: 0.0000
Epoch 97/200 | Train Loss: 2.3946 | Train Acc: 0.4825 | Val Acc: 0.6482 | ECE: 0.1746 | Adaptive ECE: 0.1746 | OE: 0.0000
Epoch 98/200 | Train Loss: 2.3649 | Train Acc: 0.4907 | Val Acc: 0.6358 | ECE: 0.1669 | Adaptive ECE: 0.1669 | OE: 0.0000
Epoch 99/200 | Train Loss: 2.3751 | Train Acc: 0.4916 | Val Acc: 0.6448 | ECE: 0.1622 | Adaptive ECE: 0.1622 | OE: 0.0000
Epoch 100/200 | Train Loss: 2.3080 | Train Acc: 0.5024 | Val Acc: 0.6592 | ECE: 0.1656 | Adaptive ECE: 0.1656 | OE: 0.0000
Epoch 101/200 | Train Loss: 2.3585 | Train Acc: 0.4949 | Val Acc: 0.6470 | ECE: 0.1692 | Adaptive ECE: 0.1692 | OE: 0.0000
Epoch 102/200 | Train Loss: 2.3412 | Train Acc: 0.4958 | Val Acc: 0.6590 | ECE: 0.1648 | Adaptive ECE: 0.1648 | OE: 0.0000
Epoch 103/200 | Train Loss: 2.3930 | Train Acc: 0.4848 | Val Acc: 0.6528 | ECE: 0.1659 | Adaptive ECE: 0.1659 | OE: 0.0000
Epoch 104/200 | Train Loss: 2.3385 | Train Acc: 0.4983 | Val Acc: 0.6568 | ECE: 0.1673 | Adaptive ECE: 0.1673 | OE: 0.0000
Epoch 105/200 | Train Loss: 2.3540 | Train Acc: 0.4957 | Val Acc: 0.6560 | ECE: 0.1587 | Adaptive ECE: 0.1587 | OE: 0.0000
Epoch 106/200 | Train Loss: 2.3831 | Train Acc: 0.4890 | Val Acc: 0.6434 | ECE: 0.1705 | Adaptive ECE: 0.1705 | OE: 0.0000
Epoch 107/200 | Train Loss: 2.3229 | Train Acc: 0.5010 | Val Acc: 0.6462 | ECE: 0.1590 | Adaptive ECE: 0.1590 | OE: 0.0000
Epoch 108/200 | Train Loss: 2.3716 | Train Acc: 0.4917 | Val Acc: 0.6502 | ECE: 0.1596 | Adaptive ECE: 0.1596 | OE: 0.0000
Epoch 109/200 | Train Loss: 2.3060 | Train Acc: 0.5074 | Val Acc: 0.6538 | ECE: 0.1579 | Adaptive ECE: 0.1579 | OE: 0.0000
Epoch 110/200 | Train Loss: 2.3734 | Train Acc: 0.4918 | Val Acc: 0.6486 | ECE: 0.1703 | Adaptive ECE: 0.1703 | OE: 0.0000
Epoch 111/200 | Train Loss: 2.2909 | Train Acc: 0.5097 | Val Acc: 0.6562 | ECE: 0.1620 | Adaptive ECE: 0.1620 | OE: 0.0000
Epoch 112/200 | Train Loss: 2.3353 | Train Acc: 0.4948 | Val Acc: 0.6534 | ECE: 0.1588 | Adaptive ECE: 0.1588 | OE: 0.0000
Epoch 113/200 | Train Loss: 2.3198 | Train Acc: 0.5006 | Val Acc: 0.6548 | ECE: 0.1698 | Adaptive ECE: 0.1698 | OE: 0.0000
Epoch 114/200 | Train Loss: 2.3015 | Train Acc: 0.5068 | Val Acc: 0.6610 | ECE: 0.1685 | Adaptive ECE: 0.1682 | OE: 0.0000
Epoch 115/200 | Train Loss: 2.3044 | Train Acc: 0.5099 | Val Acc: 0.6474 | ECE: 0.1556 | Adaptive ECE: 0.1553 | OE: 0.0000
Epoch 116/200 | Train Loss: 2.2816 | Train Acc: 0.5095 | Val Acc: 0.6552 | ECE: 0.1591 | Adaptive ECE: 0.1591 | OE: 0.0000
Epoch 117/200 | Train Loss: 2.2892 | Train Acc: 0.5104 | Val Acc: 0.6560 | ECE: 0.1588 | Adaptive ECE: 0.1588 | OE: 0.0000
Epoch 118/200 | Train Loss: 2.3238 | Train Acc: 0.5000 | Val Acc: 0.6508 | ECE: 0.1608 | Adaptive ECE: 0.1608 | OE: 0.0000
Epoch 119/200 | Train Loss: 2.3805 | Train Acc: 0.4906 | Val Acc: 0.6426 | ECE: 0.1661 | Adaptive ECE: 0.1661 | OE: 0.0000
Epoch 120/200 | Train Loss: 2.3709 | Train Acc: 0.4870 | Val Acc: 0.6566 | ECE: 0.1574 | Adaptive ECE: 0.1574 | OE: 0.0000
Epoch 121/200 | Train Loss: 2.3414 | Train Acc: 0.4972 | Val Acc: 0.6550 | ECE: 0.1707 | Adaptive ECE: 0.1704 | OE: 0.0000
Epoch 122/200 | Train Loss: 2.3501 | Train Acc: 0.4957 | Val Acc: 0.6506 | ECE: 0.1728 | Adaptive ECE: 0.1728 | OE: 0.0000
Epoch 123/200 | Train Loss: 2.3800 | Train Acc: 0.4893 | Val Acc: 0.6542 | ECE: 0.1672 | Adaptive ECE: 0.1672 | OE: 0.0000
Epoch 124/200 | Train Loss: 2.3562 | Train Acc: 0.4928 | Val Acc: 0.6494 | ECE: 0.1677 | Adaptive ECE: 0.1677 | OE: 0.0000
Epoch 125/200 | Train Loss: 2.2888 | Train Acc: 0.5123 | Val Acc: 0.6598 | ECE: 0.1678 | Adaptive ECE: 0.1678 | OE: 0.0000
Epoch 126/200 | Train Loss: 2.3164 | Train Acc: 0.5056 | Val Acc: 0.6586 | ECE: 0.1699 | Adaptive ECE: 0.1695 | OE: 0.0000
Epoch 127/200 | Train Loss: 2.3278 | Train Acc: 0.4990 | Val Acc: 0.6536 | ECE: 0.1592 | Adaptive ECE: 0.1588 | OE: 0.0000
Epoch 128/200 | Train Loss: 2.3944 | Train Acc: 0.4855 | Val Acc: 0.6522 | ECE: 0.1634 | Adaptive ECE: 0.1634 | OE: 0.0000
Epoch 129/200 | Train Loss: 2.2771 | Train Acc: 0.5146 | Val Acc: 0.6580 | ECE: 0.1644 | Adaptive ECE: 0.1644 | OE: 0.0000
Epoch 130/200 | Train Loss: 2.3371 | Train Acc: 0.4961 | Val Acc: 0.6508 | ECE: 0.1569 | Adaptive ECE: 0.1569 | OE: 0.0000
Epoch 131/200 | Train Loss: 2.2987 | Train Acc: 0.5076 | Val Acc: 0.6538 | ECE: 0.1625 | Adaptive ECE: 0.1625 | OE: 0.0000
Epoch 132/200 | Train Loss: 2.2627 | Train Acc: 0.5180 | Val Acc: 0.6584 | ECE: 0.1612 | Adaptive ECE: 0.1612 | OE: 0.0000
Epoch 133/200 | Train Loss: 2.2970 | Train Acc: 0.5053 | Val Acc: 0.6480 | ECE: 0.1580 | Adaptive ECE: 0.1580 | OE: 0.0000
Epoch 134/200 | Train Loss: 2.3429 | Train Acc: 0.4941 | Val Acc: 0.6578 | ECE: 0.1641 | Adaptive ECE: 0.1641 | OE: 0.0000
Epoch 135/200 | Train Loss: 2.3771 | Train Acc: 0.4864 | Val Acc: 0.6446 | ECE: 0.1619 | Adaptive ECE: 0.1619 | OE: 0.0000
Epoch 136/200 | Train Loss: 2.4016 | Train Acc: 0.4810 | Val Acc: 0.6644 | ECE: 0.1613 | Adaptive ECE: 0.1613 | OE: 0.0000
Epoch 137/200 | Train Loss: 2.3284 | Train Acc: 0.4990 | Val Acc: 0.6546 | ECE: 0.1709 | Adaptive ECE: 0.1704 | OE: 0.0000
Epoch 138/200 | Train Loss: 2.2614 | Train Acc: 0.5176 | Val Acc: 0.6582 | ECE: 0.1552 | Adaptive ECE: 0.1552 | OE: 0.0000
Epoch 139/200 | Train Loss: 2.3164 | Train Acc: 0.5054 | Val Acc: 0.6510 | ECE: 0.1662 | Adaptive ECE: 0.1662 | OE: 0.0000
Epoch 140/200 | Train Loss: 2.3187 | Train Acc: 0.5009 | Val Acc: 0.6594 | ECE: 0.1555 | Adaptive ECE: 0.1555 | OE: 0.0000
Epoch 141/200 | Train Loss: 2.2978 | Train Acc: 0.5045 | Val Acc: 0.6576 | ECE: 0.1483 | Adaptive ECE: 0.1483 | OE: 0.0000
Epoch 142/200 | Train Loss: 2.2657 | Train Acc: 0.5101 | Val Acc: 0.6596 | ECE: 0.1502 | Adaptive ECE: 0.1499 | OE: 0.0000
Epoch 143/200 | Train Loss: 2.3187 | Train Acc: 0.5038 | Val Acc: 0.6548 | ECE: 0.1599 | Adaptive ECE: 0.1599 | OE: 0.0000
Epoch 144/200 | Train Loss: 2.2457 | Train Acc: 0.5250 | Val Acc: 0.6596 | ECE: 0.1591 | Adaptive ECE: 0.1591 | OE: 0.0000
Epoch 145/200 | Train Loss: 2.3036 | Train Acc: 0.5091 | Val Acc: 0.6568 | ECE: 0.1544 | Adaptive ECE: 0.1543 | OE: 0.0000
Epoch 146/200 | Train Loss: 2.3457 | Train Acc: 0.4988 | Val Acc: 0.6450 | ECE: 0.1534 | Adaptive ECE: 0.1534 | OE: 0.0000
Epoch 147/200 | Train Loss: 2.3363 | Train Acc: 0.5005 | Val Acc: 0.6448 | ECE: 0.1604 | Adaptive ECE: 0.1604 | OE: 0.0000
Epoch 148/200 | Train Loss: 2.2769 | Train Acc: 0.5126 | Val Acc: 0.6658 | ECE: 0.1552 | Adaptive ECE: 0.1552 | OE: 0.0000
Epoch 149/200 | Train Loss: 2.3308 | Train Acc: 0.5001 | Val Acc: 0.6664 | ECE: 0.1606 | Adaptive ECE: 0.1606 | OE: 0.0000
Epoch 150/200 | Train Loss: 2.3270 | Train Acc: 0.5013 | Val Acc: 0.6562 | ECE: 0.1595 | Adaptive ECE: 0.1590 | OE: 0.0000
Epoch 151/200 | Train Loss: 2.2665 | Train Acc: 0.5174 | Val Acc: 0.6628 | ECE: 0.1653 | Adaptive ECE: 0.1653 | OE: 0.0000
Epoch 152/200 | Train Loss: 2.3136 | Train Acc: 0.5034 | Val Acc: 0.6596 | ECE: 0.1660 | Adaptive ECE: 0.1660 | OE: 0.0000
Epoch 153/200 | Train Loss: 2.2852 | Train Acc: 0.5113 | Val Acc: 0.6600 | ECE: 0.1605 | Adaptive ECE: 0.1605 | OE: 0.0000
Epoch 154/200 | Train Loss: 2.2695 | Train Acc: 0.5191 | Val Acc: 0.6644 | ECE: 0.1529 | Adaptive ECE: 0.1529 | OE: 0.0000
Epoch 155/200 | Train Loss: 2.3519 | Train Acc: 0.4934 | Val Acc: 0.6542 | ECE: 0.1608 | Adaptive ECE: 0.1608 | OE: 0.0000
Epoch 156/200 | Train Loss: 2.3018 | Train Acc: 0.5072 | Val Acc: 0.6648 | ECE: 0.1591 | Adaptive ECE: 0.1591 | OE: 0.0000
Epoch 157/200 | Train Loss: 2.2706 | Train Acc: 0.5186 | Val Acc: 0.6596 | ECE: 0.1547 | Adaptive ECE: 0.1547 | OE: 0.0000
Epoch 158/200 | Train Loss: 2.2557 | Train Acc: 0.5207 | Val Acc: 0.6598 | ECE: 0.1619 | Adaptive ECE: 0.1619 | OE: 0.0000
Epoch 159/200 | Train Loss: 2.3224 | Train Acc: 0.4995 | Val Acc: 0.6586 | ECE: 0.1509 | Adaptive ECE: 0.1509 | OE: 0.0000
Epoch 160/200 | Train Loss: 2.2934 | Train Acc: 0.5131 | Val Acc: 0.6608 | ECE: 0.1613 | Adaptive ECE: 0.1613 | OE: 0.0000
Epoch 161/200 | Train Loss: 2.3533 | Train Acc: 0.4947 | Val Acc: 0.6526 | ECE: 0.1606 | Adaptive ECE: 0.1606 | OE: 0.0000
Epoch 162/200 | Train Loss: 2.3037 | Train Acc: 0.5082 | Val Acc: 0.6556 | ECE: 0.1524 | Adaptive ECE: 0.1524 | OE: 0.0000
Epoch 163/200 | Train Loss: 2.3285 | Train Acc: 0.4991 | Val Acc: 0.6634 | ECE: 0.1588 | Adaptive ECE: 0.1588 | OE: 0.0000
