Epoch,Train Loss,Train Acc,Val Acc,ECE,Adaptive ECE,OE
99,2.3751,0.4916,0.6448,0.1622,0.1622,0.0000
100,2.3080,0.5024,0.6592,0.1656,0.1656,0.0000
101,2.3585,0.4949,0.6470,0.1692,0.1692,0.0000
102,2.3412,0.4958,0.6590,0.1648,0.1648,0.0000
103,2.3930,0.4848,0.6528,0.1659,0.1659,0.0000
104,2.3385,0.4983,0.6568,0.1673,0.1673,0.0000
105,2.3540,0.4957,0.6560,0.1587,0.1587,0.0000
106,2.3831,0.4890,0.6434,0.1705,0.1705,0.0000
107,2.3229,0.5010,0.6462,0.1590,0.1590,0.0000
108,2.3716,0.4917,0.6502,0.1596,0.1596,0.0000
109,2.3060,0.5074,0.6538,0.1579,0.1579,0.0000
110,2.3734,0.4918,0.6486,0.1703,0.1703,0.0000
111,2.2909,0.5097,0.6562,0.1620,0.1620,0.0000
112,2.3353,0.4948,0.6534,0.1588,0.1588,0.0000
113,2.3198,0.5006,0.6548,0.1698,0.1698,0.0000
114,2.3015,0.5068,0.6610,0.1685,0.1682,0.0000
115,2.3044,0.5099,0.6474,0.1556,0.1553,0.0000
116,2.2816,0.5095,0.6552,0.1591,0.1591,0.0000
117,2.2892,0.5104,0.6560,0.1588,0.1588,0.0000
118,2.3238,0.5000,0.6508,0.1608,0.1608,0.0000
119,2.3805,0.4906,0.6426,0.1661,0.1661,0.0000
120,2.3709,0.4870,0.6566,0.1574,0.1574,0.0000
121,2.3414,0.4972,0.6550,0.1707,0.1704,0.0000
122,2.3501,0.4957,0.6506,0.1728,0.1728,0.0000
123,2.3800,0.4893,0.6542,0.1672,0.1672,0.0000
124,2.3562,0.4928,0.6494,0.1677,0.1677,0.0000
125,2.2888,0.5123,0.6598,0.1678,0.1678,0.0000
126,2.3164,0.5056,0.6586,0.1699,0.1695,0.0000
127,2.3278,0.4990,0.6536,0.1592,0.1588,0.0000
128,2.3944,0.4855,0.6522,0.1634,0.1634,0.0000
129,2.2771,0.5146,0.6580,0.1644,0.1644,0.0000
130,2.3371,0.4961,0.6508,0.1569,0.1569,0.0000
131,2.2987,0.5076,0.6538,0.1625,0.1625,0.0000
132,2.2627,0.5180,0.6584,0.1612,0.1612,0.0000
133,2.2970,0.5053,0.6480,0.1580,0.1580,0.0000
134,2.3429,0.4941,0.6578,0.1641,0.1641,0.0000
135,2.3771,0.4864,0.6446,0.1619,0.1619,0.0000
136,2.4016,0.4810,0.6644,0.1613,0.1613,0.0000
137,2.3284,0.4990,0.6546,0.1709,0.1704,0.0000
138,2.2614,0.5176,0.6582,0.1552,0.1552,0.0000
139,2.3164,0.5054,0.6510,0.1662,0.1662,0.0000
140,2.3187,0.5009,0.6594,0.1555,0.1555,0.0000
141,2.2978,0.5045,0.6576,0.1483,0.1483,0.0000
