Files already downloaded and verified
Files already downloaded and verified
Starting Mixup Training on CIFAR-100 with ResNet34 (pretrained=False)...
Epoch 37/200 | Train Loss: 2.4909 | Train Acc: 0.4526 | Val Acc: 0.5750 | ECE: 0.0946 | Adaptive ECE: 0.0946 | OE: 0.0000
Epoch 38/200 | Train Loss: 2.5181 | Train Acc: 0.4472 | Val Acc: 0.5792 | ECE: 0.1138 | Adaptive ECE: 0.1136 | OE: 0.0000
Epoch 39/200 | Train Loss: 2.4469 | Train Acc: 0.4612 | Val Acc: 0.5880 | ECE: 0.0994 | Adaptive ECE: 0.0994 | OE: 0.0000
Epoch 40/200 | Train Loss: 2.5181 | Train Acc: 0.4484 | Val Acc: 0.5738 | ECE: 0.0855 | Adaptive ECE: 0.0853 | OE: 0.0000
Epoch 41/200 | Train Loss: 2.4734 | Train Acc: 0.4573 | Val Acc: 0.6006 | ECE: 0.1177 | Adaptive ECE: 0.1177 | OE: 0.0000
Epoch 42/200 | Train Loss: 2.4932 | Train Acc: 0.4557 | Val Acc: 0.5630 | ECE: 0.0932 | Adaptive ECE: 0.0931 | OE: 0.0000
Epoch 43/200 | Train Loss: 2.5234 | Train Acc: 0.4480 | Val Acc: 0.5864 | ECE: 0.0857 | Adaptive ECE: 0.0857 | OE: 0.0000
Epoch 44/200 | Train Loss: 2.4432 | Train Acc: 0.4656 | Val Acc: 0.5796 | ECE: 0.1284 | Adaptive ECE: 0.1284 | OE: 0.0000
Epoch 45/200 | Train Loss: 2.4798 | Train Acc: 0.4553 | Val Acc: 0.5774 | ECE: 0.0938 | Adaptive ECE: 0.0936 | OE: 0.0000
Epoch 46/200 | Train Loss: 2.4898 | Train Acc: 0.4544 | Val Acc: 0.5640 | ECE: 0.0638 | Adaptive ECE: 0.0635 | OE: 0.0000
Epoch 47/200 | Train Loss: 2.5335 | Train Acc: 0.4445 | Val Acc: 0.5534 | ECE: 0.0951 | Adaptive ECE: 0.0951 | OE: 0.0000
Epoch 48/200 | Train Loss: 2.4672 | Train Acc: 0.4593 | Val Acc: 0.5514 | ECE: 0.1008 | Adaptive ECE: 0.1008 | OE: 0.0000
Epoch 49/200 | Train Loss: 2.5162 | Train Acc: 0.4503 | Val Acc: 0.5288 | ECE: 0.0826 | Adaptive ECE: 0.0822 | OE: 0.0000
Epoch 50/200 | Train Loss: 2.4915 | Train Acc: 0.4540 | Val Acc: 0.5218 | ECE: 0.0745 | Adaptive ECE: 0.0732 | OE: 0.0005
Epoch 51/200 | Train Loss: 2.4543 | Train Acc: 0.4643 | Val Acc: 0.5998 | ECE: 0.0576 | Adaptive ECE: 0.0576 | OE: 0.0000
Epoch 52/200 | Train Loss: 2.4770 | Train Acc: 0.4592 | Val Acc: 0.5456 | ECE: 0.0943 | Adaptive ECE: 0.0943 | OE: 0.0000
Epoch 53/200 | Train Loss: 2.4861 | Train Acc: 0.4567 | Val Acc: 0.5822 | ECE: 0.0824 | Adaptive ECE: 0.0822 | OE: 0.0000
Epoch 54/200 | Train Loss: 2.4822 | Train Acc: 0.4573 | Val Acc: 0.5772 | ECE: 0.1074 | Adaptive ECE: 0.1074 | OE: 0.0000
Epoch 55/200 | Train Loss: 2.5097 | Train Acc: 0.4518 | Val Acc: 0.5774 | ECE: 0.1388 | Adaptive ECE: 0.1385 | OE: 0.0000
Epoch 56/200 | Train Loss: 2.4680 | Train Acc: 0.4593 | Val Acc: 0.5856 | ECE: 0.0654 | Adaptive ECE: 0.0654 | OE: 0.0000
Epoch 57/200 | Train Loss: 2.4150 | Train Acc: 0.4724 | Val Acc: 0.5626 | ECE: 0.0849 | Adaptive ECE: 0.0847 | OE: 0.0000
Epoch 58/200 | Train Loss: 2.4901 | Train Acc: 0.4548 | Val Acc: 0.5918 | ECE: 0.1044 | Adaptive ECE: 0.1042 | OE: 0.0000
Epoch 59/200 | Train Loss: 2.4377 | Train Acc: 0.4691 | Val Acc: 0.5756 | ECE: 0.1179 | Adaptive ECE: 0.1179 | OE: 0.0000
Epoch 60/200 | Train Loss: 2.5044 | Train Acc: 0.4534 | Val Acc: 0.5898 | ECE: 0.1711 | Adaptive ECE: 0.1710 | OE: 0.0001
Epoch 61/200 | Train Loss: 2.2592 | Train Acc: 0.5129 | Val Acc: 0.6742 | ECE: 0.0803 | Adaptive ECE: 0.0803 | OE: 0.0000
Epoch 62/200 | Train Loss: 2.2395 | Train Acc: 0.5190 | Val Acc: 0.6624 | ECE: 0.1230 | Adaptive ECE: 0.1229 | OE: 0.0000
Epoch 63/200 | Train Loss: 2.2737 | Train Acc: 0.5078 | Val Acc: 0.6304 | ECE: 0.1411 | Adaptive ECE: 0.1410 | OE: 0.0000
Epoch 64/200 | Train Loss: 2.2656 | Train Acc: 0.5094 | Val Acc: 0.6638 | ECE: 0.1579 | Adaptive ECE: 0.1579 | OE: 0.0000
Epoch 65/200 | Train Loss: 2.1965 | Train Acc: 0.5295 | Val Acc: 0.6602 | ECE: 0.1330 | Adaptive ECE: 0.1329 | OE: 0.0000
Epoch 66/200 | Train Loss: 2.2744 | Train Acc: 0.5094 | Val Acc: 0.6524 | ECE: 0.1358 | Adaptive ECE: 0.1358 | OE: 0.0000
Epoch 67/200 | Train Loss: 2.1864 | Train Acc: 0.5301 | Val Acc: 0.6462 | ECE: 0.1038 | Adaptive ECE: 0.1037 | OE: 0.0000
Epoch 68/200 | Train Loss: 2.2364 | Train Acc: 0.5216 | Val Acc: 0.6540 | ECE: 0.1321 | Adaptive ECE: 0.1320 | OE: 0.0000
Epoch 69/200 | Train Loss: 2.2910 | Train Acc: 0.5040 | Val Acc: 0.6540 | ECE: 0.1150 | Adaptive ECE: 0.1150 | OE: 0.0000
Epoch 70/200 | Train Loss: 2.2013 | Train Acc: 0.5301 | Val Acc: 0.6518 | ECE: 0.1222 | Adaptive ECE: 0.1221 | OE: 0.0000
Epoch 71/200 | Train Loss: 2.2045 | Train Acc: 0.5261 | Val Acc: 0.6384 | ECE: 0.1229 | Adaptive ECE: 0.1227 | OE: 0.0000
